#,Term,Sinhala Term,Tamil Term,Glossary
7499,stally clerk,සැසඳුම් ලිපිකරුවා,ஒப்பீட்டு எழுதுவினைஞர்,Law
7500,Stamp Act,මුද්දර පනත,முத்திரைச் சட்டம்,Law
7501,stamp duty,මුද්දර බද්ද; මුද්දර ගාස්තුව,முத்திரை வரி; முத்தரைக் கட்டனம்,Law
7502,stamp law,මුද්දර නීතිය,முத்திரைக் சட்டம்,Law
7503,stamp ordinance,මුද්දර ආඥාපනත,முத்திரைக் கட்டளைகள் சட்டம்,Law
7504,stamped,මුද්‍රාතබා,முத்திரையிட்ட; முத்திரையிடப்பட்ட,Law
7505,stamped document,මුද්දර ‍‍‍යෙදූ ලේඛනය,முத்திரையிடப்பட்ட ஆவணம்,Law
7506,stamped measure,මුද්‍රා තැබූ මිනුම,முத்திரையிடப்பட்ட அலவை,Law
7507,stamped receipt,මුද්දර ‍යෙදූ ලදුපත,முத்திரையிடப்பட்ட பற்றுச்சீட்டு,Law
7508,stamped weight,මුද්‍රා තැබූ පඩිය,முத்திரையிடப்பட்ட நிழுவைப்படி,Law
7509,standard,ප‍්‍රමිතිය ;සම්මතය,தரம்; நியமம்,Law
7510,standard crop,සම්මත වගාව; සම්මත ‍බෝගය,ஏற்றுக்கொள்ளப்பட்ட பயிர்ச்செய்கை,Law
7511,standard measure,සම්මත මිනුම,ஏற்றுக்கொள்ளப்பட்ட அளவை,Law
7512,standard of proof,ඔප්පු කිරී‍‍මේ ප්‍රමිතිය,எண்பிப்பு நியமம்,Law
7513,standard rent,සම්මත කුලිය,ஏற்றுக்கொள்ளப்பட்ட வாடகை,Law
7514,standard unit,සම්මත ඒකකය,ஏற்றுக்கொள்ளப்பட்ட கூறு,Law
7515,standardisation,ප්‍රමිතිකරණය,தரப்படுத்தல்,Law
7516,standing,ස්ථාවර; පවත්නා; නිත්‍ය,நிலைபெற்றுள்ள,Law
7517,standing committee,ස්ථාවර කමිටුව,நிலையியற் குழு,Law
7518,standing expenses,ස්ථාවර වියදම්,நிலையான  செலவு,Law
7519,standing matrimonio,විවාහය පවතිද්දි,மணம் நிலைபெறும் வரை,Law
7520,standing offer,ස්ථාවර නියෝගය,நிலைபேறான முனைவு,Law
7521,standing order,ස්ථාවර නියෝගය,நிலையியற் கட்டளை,Law
7522,state (n),රාජ්‍යය; රජය; ස්වභාවය,அரசு (கூட்டாச்சி),Law
7523,state a case,උපදෙස් විමසුම් නඩුව,வழக்கெடுத்துரை,Law
7524,state counsel,රජයේ අධිනීතීඥවරයා,அரச வழக்கறிஞர்,Law
7525,state government,ප්‍රාන්ත රජය,மாநில அரசாங்கம்,Law
7526,state immunity,රාජ්‍ය මුක්තිය; රාජ්‍ය විනිර්මුක්තිය,அரச சட்ட விலக்களிப்பு,Law
7527,state of emergency,හදිසි අවස්ථා තත්ත්වය,அவசரகால நிலை,Law
7528,state of facts,සිද්ධිවල තත්ත්වය; කරුණුවල තත්ත්වය,நிகழ்வின் நிலை,Law
7529,state of mind,චිත්ත ස්වභාවය; මානසික තත්තවය,உள நிலை,Law
7530,state patronage,රාජ්‍ය අනුග‍්‍රහය,அரச அனுசரனை,Law
7531,state policy,රාජ්‍ය ප‍්‍රතිපත්තිය,அரச கொள்கை,Law
7532,state servitudes,ස්ථාවර,அரச சேவகம்,Law
7533,state sovereignty,රාජ්‍ය පරමාධිපත්‍යය,அரச இறைமை,Law
7534,state sponsored,රජයේ අනුග‍්‍රහය ලබන,அரச அனுசரணை பெறுகின்ற,Law
7535,state territory,රාජ්‍ය භූමි ප්‍ර‍දේශය,அரச ஆள்புலம்,Law
7536,state trail,රාජ්‍ය නඩු විභාගය,அரச வழக்கு விசாரணை,Law
7537,statecraft,රාජ්‍ය පාලන වධිය; රාජ්‍යෝපාය,அரசுக்கலை,Law
7538,stated instalment,ප්‍රකාශිත වාරිකය,தீர்மானிக்கப்பட்ட தவணைக் கட்டணம்,Law
7539,stateless,අදේශික;නිර්ජාතික,நாடற்ற,Law
7540,statement,ප‍්‍රකාශය,கூற்று,Law
7541,statement of  claim,හිමිකම් ප්‍රකාශය,கோரிக்கைக் கூற்று,Law
7542,statement of accounts,ගිණුම් ප්‍රකාශය,நிதிக் கூற்று,Law
7543,statement of particulars,විස්තර ප්‍රකාශය,விபரக் கூற்று,Law
7544,statitics,සංඛ්‍යානය,புள்ளிவிபரவியல்,Law
7545,statitics analysis,සංඛ්‍යාත්මක විශ්‍‍ලේෂණය,புள்ளிவிபரப் பகுப்பாய்வு,Law
7546,status,තත්ත්වය,நிலைவரம்; அந்தஸ்து; தகுதிநிலை,Law
7547,status quo,පවත්නා තත්ත්වය; යථා තත්ත්වය,நிலவும் நிலை,Law
7548,status quo ante bellum,යුද්ධයට ‍පෙර පැවති තත්ත්වය,யுத்தத்திற்கு முன் நிலவிய நிலைமை,Law
7549,statute,පාර්ලිමේන්තු පනත; ආඥාපනත; ප‍්‍රඥප්තිය; ව්‍යවස්ථාව,பாராளுமன்ற நிறைவேற்றுச் சட்டம்;நியதிச் சட்டம்; கொள்கைப் பிரகடனம்,Law
7550,statute law,ව්‍යවස්ථා නීතිය,சட்டமன்றம் விதித்த எழுதப்பட்ட சட்டம்,Law
7551,statute law revision,ව්‍යවස්ථා නීති ප්‍රති‍‍ශෝධනය,நியதிச் சட்டத் திருத்தம்,Law
7552,statute merchant,රාජ්‍ය අනුමත බැඳුම්කරය,அரச அனுமதிபெற்ற முறி ;அரச அனுமதிபெற்ற வியாபாரி / வணிகர்,Law
7553,statute of Frauds,වංචා ව්‍යවස්ථාව,மோசடி நியதிச் சட்டம்,Law
7554,statute of Limitations,සීමාකර ව්‍යවස්ථාව,காலவரையறை நியதிச் சட்டம்,Law
7555,statute personal,පුද්ගල නීතිය,தனிப்பட்ட சட்டம் /நியதிச்சட்டம்,Law
7556,statute-barred,ව්‍යවස්ථාබාධිත,நியதிச்சட்டம் தடைசெய்த,Law
7557,statutes of ditribution,බුදල් ‍බෙදී‍‍මේ ව්‍යවස්ථා,சொத்துப் பிரிக்கும் சட்டம்,Law
7558,statutes of the realm,රාජ්‍ය‍යේ ව්‍යවස්ථා,அசைவற்ற ஆதன நியதிச் சட்டம்,Law
7559,statutory,ව්‍යවස්ථාපිත; ව්‍යවස්ථානුකුල,நியதிச்சட்ட; முறையான,Law
7560,statutory  force,ව්‍යවස්ථාපිත බලය,நியதிச்சட்ட வலு,Law
7561,statutory  incursions,ව්‍යවස්ථාපිත ආක්‍රමණ,நியதிச்சட்ட ஆக்கிரமிப்பு,Law
7562,statutory  liability,ව්‍යවස්ථාපිත ආධීනතාව,நியதிச்சட்டபொறுப்புக்கள்,Law
7563,statutory  list,ව්‍යවස්ථාපිත ලැයිස්තුව,நியதிச் சட்டப் பட்டியல்,Law
7564,statutory  offence,ව්‍යවස්ථාපිත වරද,நியதிச் சட்டத்தவறு,Law
7565,statutory appointment,ව්‍යවස්ථානුකූල පත්වීම,நியதிச்சட்ட நியமனம்,Law
7566,statutory assignee,ව්‍යවස්ථානුකුල පැවරුම්ලාභියා,நியதிச்சட்ட சாட்டுதல் பெறுனர்,Law
7567,statutory community (property),ව්‍යවස්ථාපිත ‍දේපළ සමවාය,நியதிச்சட்ட பொதுச் சொத்துரிமை,Law
7568,statutory declaration,ව්‍යවස්ථාපිත ප්‍රකාශය,நியதிச்சட்ட வெளிப்படுத்துகை,Law
7569,statutory declaration of secrecy,ව්‍යවස්ථාපිත රහස්‍යතා ප්‍රකාශය,நியதிச்சட்ட இரகசிய வெளிப்படுகை,Law
7570,statutory definition,ව්‍යවස්ථාපිත නිර්වචනය,நியதிச்சட்ட வரைவிலக்கணம்,Law
7571,statutory enactment,ව්‍යවස්ථාපිත ප්‍රඥප්තිය,நியதிச்சட்ட கொள்கைப் பிரகடனம்,Law
7572,statutory evidence,ව්‍යවස්ථාපිත සාක්ෂි,நியதிச்சட்ட சாட்சி,Law
7573,statutory exception,ව්‍යවස්ථාපිත ව්‍යතිරේකය,நியதிச்சட்ட விதிவிலக்கு,Law
7574,statutory exposition,ව්‍යවස්ථාපිත අර්ථ විග්‍රහය,நியதிச்சட்ட விளக்கவுரை,Law
7575,statutory formalities,ව්‍යවස්ථාපිත උපචාර,நியதிச்சட்ட முறையியல்,Law
7576,statutory guardianship,ව්‍යවස්ථාපිත භාරකාරත්වය,நியதிச்சட்ட பாதுகாவலர்; பொறுப்பாள்,Law
7577,statutory hypothec,ව්‍යවස්ථාපිත උකස,நியதிச்சட்ட ஈடு,Law
7578,statutory meeting,ව්‍යවස්ථාපිත රැස්විම,நியதிச்சட்ட அமர்வு / கூட்டம்,Law
7579,statutory modification,ව්‍යවස්ථාපිත සුළු ‍වෙනස් කිරීම,நியதிச்சட்ட சிறு திருத்தம்,Law
7580,statutory number,ව්‍යවස්ථාපිත ගණන,நியதிச்சட்ட எண்ணிக்கை,Law
7581,statutory obligation,ව්‍යවස්ථාපිත බන්ධනය,நியதிச்சட்ட கட்டுப்பாடுகள்,Law
7582,statutory order,ව්‍යවස්ථාපිත ආඥාව,நியதிச்சட்டக் கட்டளை,Law
7583,statutory partnership,ව්‍යවස්ථානුකූල හවුල් ව්‍යාපාරය,நியதிச்சட்ட பங்குடைமை,Law
7584,statutory penalty,ව්‍යවස්ථාපිත දණ්ඩනය,நியதிச்சட்ட தண்டம்,Law
7585,statutory powers,ව්‍යවස්ථාපිත බලතල,நியதிச்சட்ட தத்துவங்கள்,Law
7586,statutory protection,ව්‍යවස්ථාපිත ආරක්ෂාව,நியதிச்சட்டப் பாதுகாப்பு,Law
7587,statutory provision,ව්‍යවස්ථාපිත විධිවිධානය,நியதிச்சட்ட ஏற்பாடுகள்,Law
7588,statutory release,ව්‍යවස්ථාපිත මුදාහැරිම,நியதிச்சட்ட விடுதலை,Law
7589,statutory requirement,ව්‍යවස්ථාපිත නියමය,நியதிச்சட்டத் தேவைப்பாடுகள்,Law
7590,statutory reserve,ව්‍යවස්ථාපිත සංචිතය,நியதிச்சட்ட ஒதுக்கம்,Law
7591,statutoryrestrictions,ව්‍යවස්ථාපිත සීමා,நியதிச்சட்ட வரையறை,Law
7592,statutory rules and orders,ව්‍යවස්ථානුකූල රීති හා නි‍යෝග,நியதிச்சட்ட விதி மற்றும் கட்டளை,Law
7593,statutory scale,ව්‍යවස්ථානුකූල පරිමාණය,நியதிச்சட்ட  அளவு,Law
7594,statutory tenant,ව්‍යවස්ථානුකූල කුලී නිවැසියා,நியதிச்சட்ட வாடகைக் குடியிருப்பாளர் .,Law
7595,statutory trsut,ව්‍යවස්ථාපිත භාරය,நியதிச்சட்ட நம்பிக்கைப் பொறுப்பு,Law
7596,stautology,පුනරුක්තිය,கூறியது கூறல்,Law
7597,stay,නවත්වනවා;අත් හිටවනවා; වළක්වනවා,நிறுத்தி வை; தடுத்து வை; இடைநிறுத்தி வை,Law
7598,stay action,නඩුව අත්හිටුවනවා,வழக்கை இடைநிறுத்திவை,Law
7599,stay of execution,ඇස්කීසීය නැවැත්වීම,நிறைவேற்றலை நிறுத்துதல் / உறுதி முடித்தலை நிறுத்துதல்,Law
7600,stay of proceedings,නඩු කටයුතු නතර කරනවා; නීති කෘත්‍ය  නවත්වනවා,வழக்குச் செயற்பாட்டை நிறுத்துதல்,Law
7601,stealing,සොරා ගැනීම; සොරකම් කිරීම,களவு; திருட்டு,Law
7602,step-child,සුළු දරුවා,மறுதாரப் பிள்ளை; மாற்றுமகவு,Law
7603,stepdaughter,සුළු දුව,மறுதார மகள்,Law
7604,stepmother,සුළු මව,மாற்றாந்தாய்,Law
7605,stepson,සුළු පුතා,மறுதார மகன்,Law
7606,stevedore,සිවිද්‍යෝරුවා,கலமாடுநர்; கப்பற் சுமையாள்,Law
7607,steward,බාරකරු,மேலாளர்; செயல் முகவர்,Law
7608,still picture,නිශ්චල රූපය,நிலையான உருவம்,Law
7609,stillbirth,අජීව උපත; මළ දරු උපත,செத்துப் பிறத்தல்,Law
7610,stillborn,අජීව උපත ලත්,செத்துப் பிறந்த,Law
7611,stipend,දීමනාව;වැටුප,உதவிப்படி,Law
7612,stipendiary,වේතනිකයා;පඩි ලබන,படியேற்கும்; உதவிப்பணம் பெறுநர்,Law
7613,stipendiary magitrate,‍සේවා‍ දීමනාලාභී ම‍හේස්ත්‍රාත්,சேவைக் கொடுப்பனவு பெறும் நீதிவான்,Law
7614,stipulate,නියම කරනවා,பொருந்து; ஒப்பந்தப்படுத்து; முன்வரை செய்,Law
7615,stipulated conditions,නියම කරන ලද ‍‍‍කොන්‍‍‍‍දේසි,விதிக்கப்பட்ட நிபந்தனைகள்,Law
7616,stipulation,නියමය; කොන්දේසිය,முன்வரைபு; பொருத்தம்; உடன்படிக்கை; நியதி,Law
7617,stipulator,නියම කරන්නා,விதிப்பவர் / உத்தரவு வழங்குபவர்,Law
7618,stock,බඩු තොගය,சரக்கு; தொக்கு,Law
7619,stock account,තොග ගිණුම,சரக்கு கையிருப்புக் கணக்கு; கையிருப்புக் கணக்கு,Law
7620,stock broker,ස්කන්ධ තැරැවුකරු,பங்குத் தொகுதி தரகர்,Law
7621,stock in trade,ව්‍යාපාර බඬු තොගය,வியாபாரக் கையிருப்பு,Law
7622,stock market,ස්කන්ධ වෙළෙඳ පොල,பங்குச் சந்தை,Law
7623,stock of goods,බඬු තොගය,பொருளிருப்பு,Law
7624,stock taking,තොග ගණන් ගැනීම,சரக்கெடுப்பு,Law
7625,stolen goods,සොරකම් කරන ලද බඩු; සොර බඩු,களவாடிய பொருட்கள்,Law
7626,stolen property,‍‍‍සොරකම් කරන ලද ‍දේපළ,களவாடப்பட்ட சொத்து,Law
7627,stop lit,නිවර්තන ලැයිස්තුව,நிறுத்தப்பட்ட பட்டியல்,Law
7628,stoppage in transitu,අතරමගදී නැවැත්වීම ;සන්තරණ‍‍යේදී නැවැත්වීම; ගම‍නේදී නැවැත්විම,செல்கையில் இடைநிறுத்தல்; பயணத்தில் தடைசெய்தல்,Law
7629,stoppage of work,වැඩ නැවැත්වීම,வேலை நிறுத்தம்,Law
7630,storage,සංචය; ගබඩාකරණය,களஞ்சியம்; தேக்ககம்,Law
7631,store,ගබඩාව; ගුදම,சேமித்து வை,Law
7632,stores,උපකරණ; ගබඩා,களஞ்சியம்,Law
7633,stranded,අතරමංවු; මංමුළාවූ,தரைதட்டிய; இக்கட்டிக்குற்ட்பட்ட,Law
7634,stranger,ආගන්තුකයා‍; අමුත්තා,புதியவர்; அறிமுகமற்றவர்,Law
7635,stranger in blood,‍නොනෑයා,இரத்த உறவற்றவர்,Law
7636,stranger to transaction,ගනු‍දෙනුවට ආගන්තුකයා,கொடுக்கல் வாங்களுக்குப் புதியவர்,Law
7637,strangulation (n),‍ගෙල මිරිකා මැරීම,கழுத்தைநெரித்தல்; திருகிக் கொல்லல்; நெரித்தல்,Law
7638,strategy,උපායමාර්ගය,உத்தி,Law
7639,street betting,වීදි‍යේ ඔට්ටු ඇල්ලීම,தெருப்பந்தயம்,Law
7640,street collections,වීදී සම්මාදම්,தெருத் திரட்டுக்கள்,Law
7641,street line,මාර්ග රේඛාව,தெருவமைகோடு,Law
7642,street trading,වීදියේ වෙළෙඳාම,தெருவழி வணிகத் தொழில்,Law
7643,street works,මාර්ගයේ ඉදිකිරීම්,தெருநிலை பணிகள்,Law
7644,strict,දැඩි; දෘඩ; නියත,கண்டிப்பான; கடுமையான,Law
7645,strict and scrupulous accuracy,දැඩි හා සූපරීක්ෂාකාරී නිරවද්‍යතාව,கண்டிப்பான மற்றும் நுட்பமான திருத்தமாயித்தல்,Law
7646,strict contruction,දැඩි අර්ථ විග්‍රහය,தளர்வற்ற நிர்மானிப்புகட்டமைப்பு,Law
7647,strict interpretation,දැඩි අර්ථ නිරුපණය,வரம்புமீறா உரைபெயர்ப்பு;  செவ்விதான பொருள்கோடல்,Law
7648,strict liability,දැඩි වගකීම,கண்டிப்பான பொறுப்பு,Law
7649,strict meaning,හුදු අර්ථය; යථා අර්ථය,இறுக்கமான அர்த்தம்,Law
7650,stricti juris,නීති‍ය අකුරටම,சட்டத்தினை சரியாக,Law
7651,style,අභිධානය; විලාසය; විලාසම,மகுடம்,Law
7652,sub condicione,‍‍කොන්‍‍‍දේසි මත,நிபந்தனையின் மேல்,Law
7653,sub contractor,අතුරු ‍‍‍කොන්ත්‍රාත්කරු; අතුරු ගිවිසුම්කරු,கீழ் ஒப்பந்தகாரர்,Law
7654,sub judice,විනිශ්චයට භාජන වී ඇති,மன்றாய்வில்; விசாரணை நிலையில்,Law
7655,sub letting,අතුරු බදු දීම,கீழ்வாடகை,Law
7656,sub-division,අතුරු ‍කොටස; උප ‍බෙදුම; අතුරු ‍කොටස් කිරීම,உப பிரிவு,Law
7657,subjacent,උපා බද්ධ; යටියාබද,கீழமை; அடிநிலையான,Law
7658,subject (n),යටත් වැසියා; විෂය; කරුණ,விடயம்; கீழ்ப்படுத்து; பிரசை,Law
7659,subject matter,විෂය වස්තුව; විෂය කරුණ,விடயத் தலைப்பு,Law
7660,subject to contract,ගිවිසුමට යටත්,ஒப்பந்தத் தலைப்பு,Law
7661,subjective,පුද්ගලගත;ආත්මීය,தான் சார்ந்த; அகவுணர்வுசார்ந்த; அகநிலைக்குரிய,Law
7662,subjective conception,ආත්මීය සංකල්ප,அகவயக் கருத்தேற்பு,Law
7663,subjugation,යටත් කර ගැනීම,அடக்கல்; அடிமைப்படுத்தல்,Law
7664,sub-lease,අතුරු බද්ද,கீழ்க்குத்தகைக்குவிடு,Law
7665,sub-lesee,අතුරු බදු ගැනුම්කරුවා,கீழ் குத்தகையுறுநர்,Law
7666,sub-lessor,අතුරු බදු දීමනාකරුවා,கீழ் குத்தகைக்கு விடுபவர்,Law
7667,submission,අවනත භාවය;යටත් භාවය,ஒப்படைப்பு; சமர்ப்பிப்பு,Law
7668,subordinate,අප්‍රධාන;උප;අනු,கீழ்நிலை ஊழியர்,Law
7669,subordinate legislation,අනු නීති සම්පාදනය,துணைநிலைச் சட்டவாக்கம்,Law
7670,suborn,පගාව දී පොළඹවනවා,பொய்ச்சான்றளிக்க வசப்படுத்து,Law
7671,subornation of perjury,‍‍‍‍බොරු සාක්ෂි දීමට ‍පෙළඹවීම,பொய்ச்சான்றளிக்க வசப்படுத்துதல்,Law
7672,suborned person,‍බොරු සාක්ෂියට ‍‍‍‍පෙළඹුණු පුද්ගලයා,பொய்ச் சாட்சிக்கு வசமாக்கப்பட்டவர்,Law
7673,subpoena,සිතාසිය; කැඳවීම් නි‍යෝගය,தண்ட ஆணை,Law
7674,subpoena duces tecum,ලියවිලි ඉදිරිපත් කිරී‍මේ සිතාසිය,தண்ட ஆணை,Law
7675,subrogation,පුද්ගලා ‍දේශනය,மாற்றாடுகை,Law
7676,subscribe,පිළිගෙන අත්සන් කරනවා; දායක වෙනවා,ஒப்பளி,Law
7677,subscriber,අත්සන්කරුවා; දායකයා; ග්‍රාහකයා,ஒப்பளிப்பவர்,Law
7678,subscribing witness,අත්සන් කරන සාක්ෂිකරුවා,ஒப்பளிக்கும் சாட்சி,Law
7679,subscription,අත්සන් කිරීම; දායක මුදල; ග්‍රාහක මුදල,அடியெழுத்து; ஒப்புதல் தெரிவிப்பு; சந்தா,Law
7680,subscription of plaint,පැමිණිල්ල අත්සන් කිරිම,ஒப்பளிக்கும் முறைப்பாட்டாளர்,Law
7681,sub-section,උප වගන්තිය,உட்பிரிவு; உப துறை,Law
7682,sub-sectoral plan,උප-ක්ෂේත‍්‍ර සැලසුම,உப துறைத் திட்டம்,Law
7683,subsequent,පසුව; තදනන්තර; ඊළඟ,பின்வரும்; அடுத்துவரும்,Law
7684,subsequent condition,තදනන්තර ‍කොන්‍‍දේසිය,அடுத்துள்ள நிபந்தனை,Law
7685,subsequent indorser,තදනන්තර පි‍‍ටසන්කරුවා,பின் தொடர்ந்து வருகிற,Law
7686,subsequent instrument,තදනන්තර නීත්‍යනුකූල ‍‍ලේඛනය,பின்வரும் சட்டபூர்வ ஆவணம்,Law
7687,subsequent offence,තදනන්තර වරද,பின்வரும் தவறு,Law
7688,subsequent period,තදනන්තර කාල පරිච්‍‍‍ඡේදය,பின்வரும் கால எல்லை,Law
7689,subsequent sale,තදනන්තර විකිණීම,பின்வரும் விற்பனை,Law
7690,subsidence,ගිලා බැසීම; සංසිදීම; අඩුවීම,தணிதல்; ஒடுங்குதல்,Law
7691,subsidiary agreement,අතුරු සම්මුතිය,துணை உடன்படிக்கை,Law
7692,subsidiary company,පාලිත සමාගම; අනුබද්ධ සමාගම,துணைக் கம்பனி,Law
7693,subsidiary legislation,අනු නීති; අති‍රේක සම්පාදනය,துணைச்சட்டவாக்கம்,Law
7694,subsidiary promise,අතුරු ‍පො‍රොන්දුව,துணைப் பொருத்தம்,Law
7695,subsidy,සහනාධාරය; සහන මුදල,உதவிப்படி,Law
7696,subsisting right,පවත්නා අයතිය,நிலவும் உரிமைகள்,Law
7697,subsitence,යැපීම,வாழ்க்கைப்படி; வாழ்வு; பிழைப்பு,Law
7698,subsitence allowance,යැපීම් දීමනාව,வாழ்க்கைப்படிக் கொடுப்பனவு,Law
7699,subsiting obligations,පවත්නා බැඳීම්,நிலவும் கடப்பாடுகள்,Law
7700,sub-spe reconcilionis,සමඟිවී‍‍‍මේ බලා‍පො‍‍රොත්තු‍වෙන්,இணங்கும் நோக்குடன்,Law
7701,substantial,සාරානුකූල; වැදගත්,கணிசமான; முக்கிய,Law
7702,substantial cause,හරවත් ‍හේතුව,போதுமான காரணம்,Law
7703,substantive evidence,හරවත් සාක්ෂි,நிலையான சான்று;  மெய்யுறுதிச் சான்று,Law
7704,substantive judgement,හරවත් නඩු තීන්දුව,பொருண்மைத் தீர்ப்பு ;தன்னிலையான தீர்ப்பு,Law
7705,substantive law,හරවත් නිතිය,பொருண்மைச் சட்டம் ;நிலைமுறைச் சட்டம்,Law
7706,substantive sentence,ප‍්‍රධාන දණ්ඩන නියමය,தகுந்த தண்டனைத் தீர்ப்பு,Law
7707,substitued executor,ආ‍‍‍දේශිත ‍‍‍පොල්මඃකරු,பதிலீட்டு நிறைவேற்றாளர்,Law
7708,substitute (n),ආ‍දේශය; ආ‍‍දේශකයා,பதிலீடு; பிரதியீடு,Law
7709,substitute (v),ආ‍දේශ කරනවා,பதிலீடு செய்; பிரதியிடு,Law
7710,substitute holiday,ආ‍දේශිත නිවාඩු දිනය,பதில் விடுமுறை தினம்,Law
7711,substituted  heir,ආ‍දේශිත උරුමකරුවා,பதில் மரபுரிமையாளர்; வாரிசு,Law
7712,substituted agreement,ආ‍දේශිත සම්මුතිය,பதில் ஒப்பந்தம்,Law
7713,substituted and added plaintiff,ආ‍‍දේශිත සහ එක්කළ පැමිණිලිකරු,பதில் மற்றும் ஒன்றிணைக்கப்பட்ட முறைப்பாட்டாளர்,Law
7714,substituted contract,ආ‍දේශිත ගිවිසුම,பதில் ஒப்பந்தம்,Law
7715,substituted debtor,ආ‍දේශිත ණයකරු,பதில் கடன்பட்டோர்,Law
7716,substituted guardian,ආ‍දේශිත භාරකරු,பதில் பொருப்பாளர்,Law
7717,substituted perfomance,ආ‍‍දේශිත ඉටු කිරීම,பதில் நிறைவேற்றல்,Law
7718,substitution,ආදේශ කිරීම; ආ‍දේශනය,பதிலி; பதிலீடு; மாற்றீடு; பதிலாள்,Law
7719,substitutional,ආ‍දේශක; ආ‍‍‍දේශිත,மாற்றீடான,Law
7720,substitutionary,ආ‍දේශනීය; ආ‍දේශ තළ හැකි,மாற்றீட்டு,Law
7721,sub-surety,අතුරු ඇපකරුවා,துணைப் பிணையம்,Law
7722,subtantial injury,සැලකිය යුතු හානිය; සැලකිය යුතු පීඩාව,கணிசமான சேதம்,Law
7723,subtantiate,තහවුරු කරනවා; සනාථ කරනවා; සැලකිය යුතු පාඩු,மெய்யுறுதிப்படுத்து,Law
7724,subtantive law,අයිතිවාසිකම් හා යුතුකම් පිළිබඳ නීතිය,பொருண்மைச் சட்டம்,Law
7725,sub-tenant,අතුරු කුලී නිවැසියා,கீழ் வாடகைக்காரர்,Law
7726,sub-underwriter,උප-ප්‍රාරක්ෂක,கீழ் உத்தரவாதக்காரர்,Law
7727,sub-vendee,අතුරු-ගැනුම්කරු,கீழ் கொள்வனவாளர்,Law
7728,succeed,අනුප‍්‍රාප්ත වෙනවා,வெற்றியடை; தொடர்,Law
7729,succeeding,ඊළඟ; අනන්තර; අනුප්‍රාප්තික,அடுத்துறும்; பின்வரும்,Law
7730,succeeding business day,ඊළඟ ව්‍යපාර දිනය,அடுத்து வரும் தொழில் நாள்,Law
7731,succeeding generation,මතු පරම්පරාව,அடுத்த பரம்பரை,Law
7732,succeeding holder,අනුප්‍රාප්තික දරන්නා,அடுத்து வைத்திருப்பவர்,Law
7733,succeeding year,ඉක්බිති වර්ෂය,அடுத்த வருடம்,Law
7734,succession,අනුප්‍රාප්තිය,பின்னுரிமை,Law
7735,successive,අනුප්‍රාප්තීය,அடுத்துவரும்; பின்னிடும்,Law
7736,successor,අනුප‍්‍රාප්තිකයා,பின்னுரிமையாளர்,Law
7737,successor in title,අයිතියේ අනුප‍්‍රාප්තිකයා; අනුප්‍රාප්තික හිමිකරුවා,பின் உரிமையாளர் ;வழியுரிமையாளர் நிலவுரிமை மூலம் /உரித்து,Law
7738,succssion to property,‍‍දේප‍‍ළේ අනුප්‍රාප්තිය,ஆதனப் பின் உரிமையாளர்,Law
7739,sudden,හදිසි,திடீர்,Law
7740,sudden death,හදිසි මරණය,திடீர் மரணம்,Law
7741,sudden emergency,හදිසි අවස්ථාව,அவசர நிலைமை,Law
7742,sudden fight,හදිසි දබරය,திடீர் சண்டை,Law
7743,sudden provocation,හදිසි ප්‍ර‍කෝපය,திடீர் ஆத்திரமூட்டுதல்,Law
7744,sue,නඩු පවරනවා,வழக்குத் தொடு,Law
7745,sue and labour clause,‍‍බේරා‍‍ ගැනී‍මට නඩු කීමේ වගන්තිය (මුහුදු රක්ෂණය),காப்பாற்றிக்கொள்ள வழக்குத் தொடர்தல்; (கடற் காப்புறுதி),Law
7746,sue generis,ස්වයං වර්ගීය,தனியோர் இனமான,Law
7747,suffer,විඳිනවා,துயருறு,Law
7748,suffer the judgement,නඩු තීන්දුවට යටත් වීම,வழக்குத் தீர்ப்புக்குக் கீழ்படிதல்,Law
7749,sufferance,ඉවසා‍‍‍‍ගෙන සිටීම; අවිරෝධය,தடை எதிர்ப்பின்மை; விட்டுக்கொடுப்பிணக்கம்,Law
7750,sufficient,ප‍්‍රමාණවත්,போதிய,Law
7751,sufficient cause,ප‍්‍රමාණවත් හේතුව,போதிய காரணம்,Law
7752,sufficient cause of action,ප‍්‍රමාණවත් නඩු නිමිත්ත,வழக்கிற்கான போதிய காரணம்,Law
7753,sufficient ground,ප‍්‍රමාණවත් හේතුව,போதிய காரணம்,Law
7754,sufficient knowledge,ප‍්‍රමාණවත් දැනීම,போதிய அறிவு,Law
7755,suffrage,ඡන්දදායකත්වය; ඡන්ද බලය,தேர்வுரிமை,Law
7756,suffragette movement,ස්ත්‍රී ඡන්ද ව්‍යාපාරය,பெண்களுக்கான வாக்குரிமை இயக்கம்,Law
7757,suggetion,හැඟවීම; ‍යෝජනාව,கருத்துரை; தெரிப்புரை,Law
7758,sui juris,ස්විය ‍නෛතික තත්ත්වය ඇති; ස්වාධීකාරී,முழு உரிமையுடைய,Law
7759,suicide,සියදිවි නසා ගැනීම,தற்கொலை,Law
7760,suicide attempt,සියදිවි නසා ගැනී‍මේ වෑයම,தற்கொலை முயற்சி,Law
7761,suicide pact,එකට දිවිනසා ගැනී‍මේ සම්මුතිය,ஒன்றாகத் தற்கொலை செய்து கொள்ளும் ஒப்புதல்,Law
7762,suit,(සිවිල්) නඩුව,வழக்கு; துடர்ச்சி,Law
